model,deployment,id,breed,latency_ms,error
base,gpt-4o,421,Papillon,1607.441199999812,
base,gpt-4o,422,Papillon,1606.548799999473,
base,gpt-4o,423,Papillon,2129.210299999613,
base,gpt-4o,424,Papillon,1616.2449000003107,
base,gpt-4o,425,Pekinese,1557.9753000001801,
base,gpt-4o,426,Pekinese,1775.496000000203,
base,gpt-4o,427,Pekinese,3196.468900000582,
base,gpt-4o,428,Pekinese,2329.7297000008257,
base,gpt-4o,429,Pekinese,2024.2970999997851,
base,gpt-4o,430,Pembroke,1563.390100000106,
base,gpt-4o,431,Pembroke,1809.2256999998426,
base,gpt-4o,432,Pembroke,1818.8070999995034,
base,gpt-4o,433,Pembroke,1412.1909000004962,
base,gpt-4o,434,Pembroke,1645.5833999998504,
base,gpt-4o,435,Pomeranian,1742.2119999991992,
base,gpt-4o,436,Pomeranian,1734.4305999995413,
base,gpt-4o,437,Pomeranian,1703.2097000001158,
base,gpt-4o,438,Pomeranian,1859.7706000000471,
base,gpt-4o,439,Pomeranian,1759.7969999997076,
base,gpt-4o,440,Pug,1699.790600000597,
base,gpt-4o,441,Pug,1640.7887000004848,
base,gpt-4o,442,Pug,1703.9830000003349,
base,gpt-4o,443,Pug,1663.337799999681,
base,gpt-4o,444,Pug,1320.3270000003613,
base,gpt-4o,445,Redbone,1864.6372000002884,
base,gpt-4o,446,Redbone,1808.6419000001115,
base,gpt-4o,447,Redbone,1782.2402000001603,
base,gpt-4o,448,Redbone,3206.5314999999828,
base,gpt-4o,449,Redbone,1745.3411999995296,
base,gpt-4o,450,Rhodesian Ridgeback,1489.1293000000587,
base,gpt-4o,451,Rhodesian Ridgeback,1852.1104999999807,
base,gpt-4o,452,Rhodesian Ridgeback,1473.0367000001934,
base,gpt-4o,453,Rhodesian Ridgeback,1192.380000000412,
base,gpt-4o,454,Rhodesian Ridgeback,1682.1280000003753,
base,gpt-4o,455,Rottweiler,1573.745599999711,
base,gpt-4o,456,Rottweiler,1403.545899999699,
base,gpt-4o,457,Rottweiler,1433.000699999866,
base,gpt-4o,458,Rottweiler,1505.2666999999929,
base,gpt-4o,459,Rottweiler,1632.9022999998415,
base,gpt-4o,460,Saint Bernard,1708.4844999999405,
base,gpt-4o,461,Saint Bernard,1262.5636000002487,
base,gpt-4o,462,Saint Bernard,1651.1592999995628,
base,gpt-4o,463,Saint Bernard,1599.0458000005674,
base,gpt-4o,464,Saint Bernard,1524.1839999998774,
base,gpt-4o,465,Saluki,1869.6524999995745,
base,gpt-4o,466,Saluki,1750.998499999696,
base,gpt-4o,467,Saluki,1506.0524000000441,
base,gpt-4o,468,Saluki,1550.6838999999673,
base,gpt-4o,469,Saluki,1556.5546999996513,
base,gpt-4o,470,Samoyed,1597.638299999744,
base,gpt-4o,471,Samoyed,1696.8505999993795,
base,gpt-4o,472,Samoyed,1452.6551999997537,
base,gpt-4o,473,Samoyed,1538.390800000343,
base,gpt-4o,474,Samoyed,1561.7077999995672,
base,gpt-4o,475,Schipperke,1735.3815999995277,
base,gpt-4o,476,Schipperke,1513.0521000000954,
base,gpt-4o,477,Schipperke,1954.8921000005066,
base,gpt-4o,478,Schipperke,1872.5579000001744,
base,gpt-4o,479,Schipperke,1660.62090000014,
base,gpt-4o,480,Scotch Terrier,1531.8050000005314,
base,gpt-4o,481,Scotch Terrier,2504.940899999383,
base,gpt-4o,482,Scotch Terrier,1794.062599999961,
base,gpt-4o,483,Scotch Terrier,1851.824299999862,
base,gpt-4o,484,Scotch Terrier,1894.595400000071,
base,gpt-4o,485,Scottish Deerhound,1633.4249999999884,
